Time(s),Voltage I/O-1(V)
1.326,0.001
1.328,0
1.33,-0.001
1.332,0
1.334,-0.001
1.336,0
1.338,0.001
1.34,0
1.342,0.002
1.344,0.001
1.346,0.001
1.348,0
1.35,-0.001
1.352,-0.001
1.354,0
1.356,-0.001
1.358,0.002
1.36,0.001
1.362,0.004
1.364,0.002
1.366,0
1.368,0.001
1.37,0
1.372,0
1.374,0.001
1.376,0
1.378,0.001
1.38,0.001
1.382,0.002
1.384,0.001
1.386,0
1.388,0
1.39,0
1.392,0
1.394,0
1.396,0
1.398,0
1.4,0
1.402,0.002
1.404,0
1.406,0.001
1.408,0.002
1.41,0.001
1.412,0
1.414,0
1.416,0.001
1.418,0
1.42,0
1.422,0.002
1.424,0
1.426,0.001
1.428,0.001
1.43,0
1.432,0.001
1.434,-0.001
1.436,0
1.438,0.002
1.44,0.001
1.442,0.002
1.444,0.001
1.446,-0.001
1.448,0.001
1.45,0
1.452,0
1.454,0
1.456,0
1.458,0.002
1.46,0
1.462,0
1.464,0.001
1.466,-0.002
1.468,-0.001
1.47,0.001
1.472,0.001
1.474,0.002
1.476,0
1.478,0
1.48,0.002
1.482,-0.001
1.484,0
1.486,0
1.488,0.001
1.49,0.002
1.492,0
1.494,0.002
1.496,0
1.498,-0.001
1.5,0.002
1.502,0
1.504,0
1.506,0.001
1.508,0
1.51,0
1.512,0.002
1.514,0
1.516,0.001
1.518,0.001
1.52,0
1.522,0
1.524,0
1.526,0.001
1.528,0.001
1.53,0
1.532,0.001
1.534,0
1.536,0.001
1.538,0.001
1.54,0
1.542,-0.001
1.544,-0.001
1.546,-0.001
1.548,0.001
1.55,0.002
1.552,0.001
1.554,0
1.556,0.001
1.558,0
1.56,0
1.562,-0.001
1.564,0
1.566,0
1.568,0.002
1.57,0.001
1.572,0
1.574,0.002
1.576,0.001
1.578,0
1.58,0.002
1.582,-0.001
1.584,0
1.586,0
1.588,0
1.59,0
1.592,0.001
1.594,0
1.596,0.002
1.598,0.001
1.6,0.002
1.602,0.002
1.604,-0.001
1.606,0
1.608,0
1.61,0
1.612,0
1.614,0
1.616,0.002
1.618,0.001
1.62,0.001
1.622,0.001
1.624,0
1.626,0
1.628,0.001
1.63,0.001
1.632,0.001
1.634,-0.002
1.636,0
1.638,0
1.64,0
1.642,0.001
1.644,0
1.646,0.001
1.648,0.001
1.65,0.001
1.652,0
1.654,-0.001
1.656,0
1.658,0
1.66,0.002
1.662,0
1.664,0.001
1.666,0
1.668,0
1.67,-0.001
1.672,0
1.674,0.001
1.676,0
1.678,0
1.68,0.002
1.682,0
1.684,0
1.686,0
1.688,0
1.69,0
1.692,0
1.694,0
1.696,0.001
1.698,0
1.7,0.001
1.702,0.001
1.704,0.001
1.706,0
1.708,0
1.71,0
1.712,0
1.714,-0.001
1.716,0
1.718,0.001
1.72,0
1.722,0.002
1.724,0
1.726,0.002
1.728,0.001
1.73,0
1.732,-0.001
1.734,-0.002
1.736,0
1.738,0.001
1.74,0.001
1.742,0.001
1.744,0
1.746,0
1.748,0.002
1.75,0.001
1.752,0.001
1.754,-0.001
1.756,0
1.758,0.001
1.76,0
1.762,0
1.764,0
1.766,0
1.768,0.001
1.77,0.002
1.772,0.001
1.774,0.001
1.776,0
1.778,0.001
1.78,0.001
1.782,0
1.784,0.002
1.786,0.002
1.788,0
1.79,0.001
1.792,0.001
1.794,0.001
1.796,0
1.798,0
1.8,0.001
1.802,-0.001
1.804,0
1.806,0.001
1.808,0
1.81,0.002
1.812,0
1.814,0
1.816,0.001
1.818,0.001
1.82,0
1.822,0.001
1.824,0
1.826,0
1.828,0.001
1.83,0.001
1.832,0.001
1.834,0.002
1.836,0
1.838,0.002
1.84,-0.001
1.842,0.001
1.844,-0.001
1.846,0
1.848,0.002
1.85,0.001
1.852,0.001
1.854,0.004
1.856,0.001
1.858,0
1.86,-0.001
1.862,0
1.864,0.002
1.866,0.001
1.868,0.001
1.87,0
1.872,-0.001
1.874,0.001
1.876,0
1.878,0.001
1.88,0.001
1.882,0
1.884,0.001
1.886,0.001
1.888,-0.001
1.89,0
1.892,-0.002
1.894,0
1.896,0.002
1.898,0
1.9,0
1.902,0
1.904,-0.001
1.906,0
1.908,0
1.91,0
1.912,0.001
1.914,0.001
1.916,0.002
1.918,0.002
1.92,0
1.922,0
1.924,-0.001
1.926,0.001
1.928,0
1.93,0
1.932,0
1.934,0.001
1.936,0.001
1.938,0.002
1.94,0
1.942,0
1.944,0.001
1.946,0
1.948,0.002
1.95,-0.001
1.952,0
1.954,0
1.956,0
1.958,0
1.96,0
1.962,0
1.964,0.002
1.966,0.001
1.968,0
1.97,0.001
1.972,-0.001
1.974,0.001
1.976,0.001
1.978,0.002
1.98,0.002
1.982,0.001
1.984,0
1.986,0.001
1.988,0
1.99,0.001
1.992,0
1.994,0.001
1.996,0.002
1.998,0.001
