Time(s),Voltage I/O-1(V)
1.726,-0.001
1.728,-0.002
1.73,-0.001
1.732,-0.002
1.734,-0.0
1.736,-0.002
1.738,0.001
1.74,-0.0
1.742,-0.001
1.744,-0.0
1.746,-0.001
1.748,-0.001
1.75,-0.001
1.752,-0.001
1.754,-0.0
1.756,-0.0
1.758,-0.0
1.76,-0.0
1.762,-0.001
1.764,-0.0
1.766,-0.0
1.768,-0.001
1.77,0.001
1.772,-0.002
1.774,-0.001
1.776,-0.001
1.778,-0.001
1.78,-0.0
1.782,-0.001
1.784,-0.001
1.786,-0.0
1.788,-0.002
1.79,-0.0
1.792,-0.0
1.794,-0.002
1.796,-0.001
1.798,-0.001
1.8,-0.001
1.802,-0.0
1.804,-0.0
1.806,-0.0
1.808,-0.0
1.81,0.001
1.812,-0.0
1.814,-0.002
1.816,-0.002
1.818,-0.0
1.82,-0.001
1.822,-0.001
1.824,-0.0
1.826,-0.001
1.828,-0.0
1.83,-0.0
1.832,-0.0
1.834,-0.0
1.836,-0.001
1.838,-0.0
1.84,-0.001
1.842,-0.002
1.844,-0.0
1.846,-0.002
1.848,-0.0
1.85,0.001
1.852,-0.0
1.854,-0.0
1.856,-0.0
1.858,-0.001
1.86,-0.001
1.862,-0.002
1.864,-0.0
1.866,-0.0
1.868,-0.0
1.87,0.002
1.872,-0.001
1.874,-0.001
1.876,-0.0
1.878,-0.002
1.88,-0.001
1.882,-0.0
1.884,-0.001
1.886,-0.002
1.888,-0.001
1.89,-0.0
1.892,-0.001
1.894,-0.001
1.896,-0.001
1.898,-0.0
1.9,-0.0
1.902,-0.0
1.904,-0.001
1.906,-0.001
1.908,-0.0
1.91,-0.001
1.912,-0.001
1.914,-0.001
1.916,-0.001
1.918,-0.001
1.92,-0.001
1.922,-0.0
1.924,-0.001
1.926,-0.002
1.928,-0.001
1.93,-0.0
1.932,-0.002
1.934,-0.001
1.936,-0.001
1.938,-0.001
1.94,-0.0
1.942,-0.0
1.944,0.001
1.946,-0.001
1.948,-0.001
1.95,-0.001
1.952,-0.002
1.954,-0.001
1.956,-0.0
1.958,-0.0
1.96,0.001
1.962,-0.0
1.964,-0.0
1.966,-0.0
1.968,-0.002
1.97,-0.0
1.972,-0.001
1.974,-0.001
1.976,-0.0
1.978,-0.0
1.98,-0.001
1.982,-0.0
1.984,-0.0
1.986,-0.0
1.988,-0.001
1.99,-0.001
1.992,-0.0
1.994,-0.002
1.996,-0.0
1.998,-0.0
