Time(s),Voltage I/O-1(V)
1.48,-0.0
1.482,-0.0012
1.484,-0.0
1.486,-0.0
1.488,-0.0024
1.49,-0.0
1.492,-0.0
1.494,-0.0
1.496,-0.0
1.498,-0.0012
1.5,-0.0012
1.502,-0.0
1.504,-0.0
1.506,0.0012
1.508,-0.0
1.51,-0.0
1.512,-0.0
1.514,-0.0
1.516,-0.0
1.518,-0.0
